x,y,z
668893.25,6221260.5,429.943
668897.375,6220969,394.959
668898.5,6221197,393.757
668907.8125,6220830.5,395.694
668897.5,6221284,431.551
668906.625,6220941.5,396.3
668903.375,6221219,403.457
668908.875,6220805,391.556
668905,6221108,391.9
668895.1875,6221173,394.001
668919.375,6220891,395.507
668914.25,6220542,401.085
668909.6875,6221241.5,425.953
668910.25,6220781,391.534
668914.25,6220515.5,425.328
668910.8125,6221005.5,390.84
668914.3125,6220915.5,395.612
668925.0625,6220866.5,396.301
668914.5,6221131,393.4
668915.6875,6220489,428.439
668916.75,6220565,390.165
668916.0625,6220988,395.133
668915.8125,6221265.5,430.204
668930.1875,6220841,395.52
668917.5625,6221204,395.521
668921.75,6221290,429.9
668925,6220961,396.416
668925.9375,6221222.5,400.705
668918.625,6221157.5,393.861
668932.6875,6220813.5,391.634
668937.6875,6220906,395.246
668919.0625,6221183,393.834
668928.875,6221115,391.9
668933,6220550,390.898
668936.0625,6220932.5,396.436
668934.1875,6221246.5,421.767
668934.5,6220787.5,391.563
668938.8125,6220524.5,421.267
668935.125,6221011.5,391.151
668935.3125,6220493,428.329
668938.5625,6221271,429.94
668943.5625,6220882,395.625
668941.9375,6220980.5,395.873
668941.125,6221295,429.9
668941.3125,6220569.5,389.974
668951.6875,6220955.5,396.39
668953.375,6220916.5,395.979
668948.75,6221141,393.4
668943.625,6221168.5,394.092
668950.0625,6221225,399.045
668940.875,6221198,394.004
668952.5,6221123.5,391.9
668950.4375,6220856,396.017
668953.875,6220549.5,391.05
668954.9375,6220496.5,428.171
668966.1875,6220525,420.923
668958.6875,6221251.5,420.497
668960.5,6220994.5,395.315
668959.125,6220791.5,391.532
668959.125,6221018,390.704
668959.5,6220898,395.053
668960.5625,6221300,429.9
668960,6221276.5,429.252
668963.6875,6220932.5,396.351
668963.1875,6220973,396.463
668965.6875,6220575,390.136
668955.6875,6220827,392.994
668964.125,6221204.5,393.829
668969.0625,6221152.5,393.4
668965.5625,6221180,394.137
668976.4375,6221226.5,396.478
668969.3125,6220874.5,395.533
668970,6220913,395.664
668978.3125,6220552,390.893
668982,6221003,395.244
668976.25,6221131,391.9
668976.375,6221255,422.81
668980.4375,6220953.5,396.285
668979.75,6220499.5,427.9
668979.9375,6221304.5,429.9
668991.25,6220527.5,424.919
668981.5,6220980,396.48
668983.1875,6221025,390.583
668983.9375,6220794.5,391.589
668984.625,6221285,430.317
668978.6875,6220845.5,395.408
668983.125,6220814.5,391.937
668987.9375,6221161.5,393.4
668982.9375,6220896,395.621
668990.0625,6220580.5,390.043
668987.875,6221193.5,393.931
668990.4375,6220922.5,395.791
668995,6221240,405.891
668999.3125,6221309.5,429.9
669004.8125,6221011,395.316
669000.25,6221262.5,425.054
669000.375,6221137.5,391.9
669002.8125,6220556,391.007
669001,6220869.5,395.591
669004.6875,6220501.5,428.075
669002.8125,6220988.5,396.54
669015.875,6220530,424.91
669012.5625,6220831.5,392.885
669007.0625,6221032.5,390.989
669007.3125,6221172,393.4
669015.8125,6221288,429.539
669008.625,6220798.5,391.3
669000,6220968,396.419
669002.9375,6221216.5,393.743
669007.4375,6220898.5,396.125
669010.5625,6221193,394.04
669014.375,6220586.5,389.966
669019,6221239.5,397.503
669012.75,6220945,395.746
669015.75,6220919,396.157
669022.875,6221147.5,391.9
669023.5,6220882.5,395.413
669023.4375,6221316,429.9
669027,6220559,390.897
669027.4375,6221019.5,395.311
669024.125,6221270,418.976
669025.8125,6221177.5,393.4
