x,y,z
655835.75,6222167.5,393.3
655838.6875,6222106.5,394.714
655833.5625,6221878.5,398.408
655835.0625,6222342.5,435.209
655835.25,6221959,399.243
655835.25,6221975.5,398.491
655833.875,6221895,398
655838.1875,6222287,394.745
655836.5625,6222233.5,391.81
655837.8125,6222184.5,392.557
655842.0625,6222124.5,394.268
655837.0625,6221847.5,399.3
655839.125,6221832,399.3
655838.5625,6221795.5,402.408
655841.25,6222248,392.36
655839.625,6221746.5,402.118
655839.6875,6222355.5,453.021
655846.625,6222020.5,396.459
655842.25,6222140,393.919
655837.4375,6222198,391.991
655850.0625,6222317,407.805
655842.25,6222037,396.055
655842.5,6221950,398.522
655843.125,6222261.5,393.329
655841.8125,6222210.5,391.788
655840.125,6221815,402.375
655845.875,6222003,396.905
655844.1875,6221760.5,402.372
655847.8125,6221938.5,397.275
655847.375,6222154.5,393.539
655844.3125,6222302,397
655841.8125,6221776,402.39
655850.8125,6222335.5,431.311
655843.875,6222223.5,391.633
655846.1875,6221988.5,398.5
655846.5,6222062,395.536
655844.375,6221871,398.3
655847.3125,6221856.5,399.3
655850.6875,6222174.5,392.869
655847.375,6221884.5,398
655847.6875,6221961.5,399.571
655849.1875,6221902.5,398
655852.25,6222235,391.944
655851.5625,6222290.5,395.198
655848.1875,6221923,397.589
655851.3125,6222275,394.169
655853.5625,6221825,400.052
655850.8125,6222086.5,395.056
655850.5625,6221841.5,399.3
655851.25,6221749.5,402.328
655859,6222254.5,393.608
655857.5625,6222010.5,396.701
655853.4375,6221947,398.77
655855.25,6221786.5,402.409
655852,6222197,391.915
655854.6875,6222354.5,444.001
655855.0625,6222111,394.548
655856,6221975.5,398.694
655857,6221806,401.995
655857.1875,6222035.5,396.061
655857,6221767,402.354
655861.0625,6221996,396.983
655859.25,6222301.5,397
655859.3125,6222135.5,393.952
655856.375,6222218,391.635
655859.4375,6221935.5,397.272
655864.4375,6222342.5,437.633
655859.4375,6221870.5,397.9
655861.375,6221851,399.3
655863.6875,6221890.5,398
655862.875,6221752.5,402.326
655864.875,6222287,395.223
655863.75,6221960.5,399.6
655863.5625,6222160,393.251
655863.5,6222022.5,396.421
655864.6875,6221925,397.409
655869.25,6221820,401.738
655865.125,6221836,399.358
655868.125,6222271.5,394.327
655869.8125,6221780,402.403
655867.5,6221793.5,402.368
655871.625,6221986,398.4
655868.75,6222327.5,421.339
655866.6875,6222312,406.122
655871,6222011,396.605
655867.8125,6222184.5,392.281
655867,6221910.5,399.2
655869,6221946,398.906
655869.6875,6222354,437.441
655873.75,6221765,402.33
655874.9375,6221805,402.201
655872.0625,6222209,391.563
655872.125,6222034,396.135
655874.8125,6221862.5,397.703
655873.375,6221933.5,397.268
655874.25,6222301,397
655877.125,6221878.5,398
655878.125,6222342,436.127
655875.8125,6221847,399.3
655876.3125,6221975,398.685
655876.3125,6222233.5,392.001
655879,6221998.5,396.883
655879.875,6221959,399.6
655877.625,6221753,402.29
655876.375,6222023,396.329
655875.4375,6221922.5,397.374
655880.0625,6221832,399.539
655880.5,6221790.5,402.443
655880.5625,6222258,393.677
655884.75,6221776,402.424
655881.125,6222314,407.752
655887,6221869.5,397.984
655884.9375,6221817,402.258
655884.6875,6222353.5,433.663
655884.8125,6222282.5,395.283
655885,6221942.5,398.682
655881.9375,6221897,399.239
655885.875,6221985,398.4
655887,6222032,396.126
655890.3125,6221761.5,402.359
655888.0625,6221857,397.619
655888.375,6222015,396.562
655890.3125,6221802,402.377
655885.625,6221914.5,397.467
655889.25,6222301,397
655886.625,6221929.5,397.265
655889.4375,6221751,402.33
655891.25,6222343.5,434.188
655890.1875,6221843,399.3
655891,6221972.5,398.704
655894.3125,6221956,399.6
655895.75,6221787,402.428
655895,6221828.5,399.514
655895.9375,6221882.5,399.094
655889.9375,6222329.5,425.029
655896.125,6221997.5,397.389
655899.0625,6221866.5,398.051
655900,6221814,402.046
655897.9375,6222313.5,407.889
