x,y,z
629505.375,6229145.5,433.728
629511.9375,6229176,419.274
629515.875,6230298.5,435.509
629526.25,6230334,461.241
629522,6230251,420.456
629524.3125,6230459,501.105
629542.25,6230379,492.736
629520.5625,6229057,461.022
629535.25,6229133,433.322
629532.75,6229164,420.095
629543.75,6230309.5,456.686
629539.6875,6229011.5,462.784
629538.0625,6230275.5,433.06
629543.5625,6230241,421.879
629546.875,6229098.5,450.916
629569.3125,6230342,485.733
629549.9375,6228928,465.817
629552.75,6229151,419.782
629569.3125,6230298.5,463.832
629563.5625,6230429,506.172
629565.6875,6230231.5,423.527
629566.4375,6230262.5,438.362
629568.8125,6229059,459.888
629570.625,6228971,463.531
629572.375,6229137,419.97
629579.375,6229019,461.491
629582.9375,6229101.5,438.121
629585.0625,6228908.5,465.24
629586.625,6230220,423.072
629585.9375,6230248,437.425
629602.1875,6230355,499.846
629602.1875,6230322.5,488.914
629592,6229123.5,421.072
629596.1875,6230279.5,462.767
629599.3125,6230394,508.563
629606.375,6229045.5,458.963
629607.125,6230207.5,420.218
629605.875,6229080,442.355
629611.625,6229109.5,423.7
629611.25,6229008.5,461.133
629614.8125,6230247.5,446.761
629626.8125,6230194,422.869
629628.625,6228884.5,464.756
629638.875,6229038,451.158
629631.5,6229096.5,423.317
629633.9375,6229069,434.277
629638.375,6230297,487.948
629623.25,6228968.5,462.256
629638.8125,6230223,439.59
629637.8125,6230362.5,506.394
629641.125,6230175,421.802
629650.6875,6230256,464.05
629659.375,6230200.5,434.651
629654.8125,6229090.5,418.987
629655.4375,6230155.5,422.491
629666.25,6229063,424.984
629666.125,6229035,443.296
629674.125,6230233.5,455.353
629651.4375,6228934,462.619
629649.25,6229008,456.806
629687.125,6230277.5,492.155
629670.5625,6228857,464.472
629674.375,6230141,421.064
629678.125,6229085,418.939
629679.875,6230335.5,504.43
629679.3125,6230171.5,428.766
629695.9375,6230205.5,446.935
629693.375,6230126.5,419.664
629671.6875,6228981,460.849
629684.25,6229018,447.555
629713.0625,6230239.5,473.729
629692.0625,6229048,428.073
629699.6875,6229074.5,420.702
629689,6228905,462.713
629730.4375,6230271,497.181
629711,6228827.5,464.68
629712.5,6230112,418.623
629709.0625,6230143,422.834
629729.75,6230210.5,465.438
629711.1875,6229000.5,451.602
629720.9375,6229063.5,419.432
629715.0625,6229034,429.607
629723.25,6230310.5,504.792
629719.9375,6230178.5,438.634
629710.875,6228956.5,460.389
629733.625,6230100.5,416.724
629728.375,6228875.5,462.686
629737.25,6230119.5,419.425
629742.125,6229052,416.878
629740,6229022.5,432.658
629745.375,6228992.5,447.847
629760.8125,6230239,492.313
629750.9375,6228797.5,464.692
629746.4375,6230151.5,431.426
629744.1875,6228922,460.954
629754.8125,6230089,415.278
629763.125,6229040.5,417.871
629763,6229015.5,429.455
629759.125,6230190,467.344
629767.9375,6230288,512.657
629763.25,6228962,455.361
629767.125,6230121.5,422.74
629774.8125,6230076.5,415.372
629767.8125,6228845,462.859
629779.0625,6230098,417.222
629782.625,6229026.5,418.616
629783.875,6228996,433.733
629787.75,6228897,461.147
629786.25,6230155,458.918
629791,6228767.5,464.613
629791.5625,6230059,415.771
629799.375,6230085,419.527
629785.8125,6228936.5,457.549
629802.0625,6229012.5,420.134
629799.0625,6230117.5,431.609
629806.9375,6228812.5,463.081
629811.6875,6230205,491.347
629808.3125,6230042,416.932
629809.5,6228967,442.119
